0.263413 0.042469 0.000000
0.264118 0.042528 0.000000
0.264815 0.042587 0.000000
0.265505 0.042645 0.000000
0.266187 0.042704 0.000000
0.266862 0.042763 0.000000
0.267529 0.042821 0.000000
0.268189 0.042880 0.000000
0.268841 0.042938 0.000000
0.269486 0.042996 0.000000
0.270123 0.043055 0.000000
0.270753 0.043113 0.000000
0.271375 0.043171 0.000000
0.271989 0.043229 0.000000
0.272596 0.043287 0.000000
0.273195 0.043345 0.000000
0.273787 0.043402 0.000000
0.274371 0.043460 0.000000
0.274948 0.043518 0.000000
0.275517 0.043575 0.000000
0.276078 0.043633 0.000000
0.276632 0.043690 0.000000
0.277179 0.043747 0.000000
0.277718 0.043805 0.000000
0.278249 0.043862 0.000000
0.278773 0.043919 0.000000
0.279289 0.043976 0.000000
0.279798 0.044033 0.000000
0.280299 0.044090 0.000000
0.280793 0.044146 0.000000
0.281280 0.044203 0.000000
0.281759 0.044260 0.000000
0.282230 0.044316 0.000000
0.282695 0.044373 0.000000
0.283151 0.044429 0.000000
0.283601 0.044485 0.000000
0.284043 0.044542 0.000000
0.284478 0.044598 0.000000
0.284906 0.044654 0.000000
0.285326 0.044710 0.000000
0.285740 0.044766 0.000000
0.286146 0.044822 0.000000
0.286545 0.044878 0.000000
0.286937 0.044934 0.000000
0.287321 0.044989 0.000000
0.287699 0.045045 0.000000
0.288070 0.045101 0.000000
0.288433 0.045156 0.000000
0.288790 0.045212 0.000000
0.289140 0.045267 0.000000
0.289483 0.045322 0.000000
0.289819 0.045378 0.000000
0.290149 0.045433 0.000000
0.290471 0.045488 0.000000
0.290787 0.045543 0.000000
0.291097 0.045598 0.000000
0.291400 0.045653 0.000000
0.291696 0.045708 0.000000
0.291986 0.045762 0.000000
0.292269 0.045817 0.000000
0.292546 0.045872 0.000000
0.292816 0.045926 0.000000
0.293081 0.045981 0.000000
0.293339 0.046035 0.000000
0.293590 0.046090 0.000000
0.293836 0.046144 0.000000
0.294076 0.046198 0.000000
0.294309 0.046252 0.000000
0.294537 0.046306 0.000000
0.294759 0.046361 0.000000
0.294975 0.046415 0.000000
0.295185 0.046468 0.000000
0.295389 0.046522 0.000000
0.295588 0.046576 0.000000
0.295781 0.046630 0.000000
0.295969 0.046684 0.000000
0.296151 0.046737 0.000000
0.296328 0.046791 0.000000
0.296499 0.046844 0.000000
0.296665 0.046898 0.000000
0.296826 0.046951 0.000000
0.296982 0.047004 0.000000
0.297133 0.047058 0.000000
0.297279 0.047111 0.000000
0.297420 0.047164 0.000000
0.297556 0.047217 0.000000
0.297687 0.047270 0.000000
0.297814 0.047323 0.000000
0.297936 0.047376 0.000000
0.298053 0.047429 0.000000
0.298166 0.047482 0.000000
0.298275 0.047534 0.000000
0.298379 0.047587 0.000000
0.298479 0.047640 0.000000
0.298575 0.047692 0.000000
0.298667 0.047745 0.000000
0.298755 0.047797 0.000000
0.298839 0.047850 0.000000
0.298920 0.047902 0.000000
0.298996 0.047954 0.000000
0.299069 0.048006 0.000000
0.299138 0.048058 0.000000
0.299204 0.048111 0.000000
0.299266 0.048163 0.000000
0.299325 0.048215 0.000000
0.299381 0.048267 0.000000
0.299434 0.048318 0.000000
0.299484 0.048370 0.000000
0.299530 0.048422 0.000000
0.299574 0.048474 0.000000
0.299615 0.048525 0.000000
0.299653 0.048577 0.000000
0.299689 0.048628 0.000000
0.299722 0.048680 0.000000
0.299753 0.048731 0.000000
0.299781 0.048783 0.000000
0.299808 0.048834 0.000000
0.299831 0.048885 0.000000
0.299853 0.048937 0.000000
0.299873 0.048988 0.000000
0.299891 0.049039 0.000000
0.299908 0.049090 0.000000
0.299922 0.049141 0.000000
0.299935 0.049192 0.000000
0.299946 0.049243 0.000000
0.299956 0.049294 0.000000
0.299965 0.049344 0.000000
0.299973 0.049395 0.000000
0.299979 0.049446 0.000000
0.299984 0.049496 0.000000
0.299988 0.049547 0.000000
0.299992 0.049598 0.000000
0.299995 0.049648 0.000000
0.299997 0.049698 0.000000
0.299998 0.049749 0.000000
0.299999 0.049799 0.000000
0.300000 0.049849 0.000000
0.300000 0.049900 0.000000
0.300000 0.049950 0.000000
0.300000 0.050000 0.000000
